Unnamed: 0,A,CH,CR,J,LAW,LTD,PINC,TER,USE,document,document_ID,label,text,TER_targets,LTD_targets,A_targets,CH_targets,CR_targets
429,0,0,0,0,0,0,0,0,0,Instagram,2,0,"these terms of use are effective on january 19 , 2013 .",,,,,
430,0,0,0,0,0,0,0,0,0,Instagram,2,0,"to access our previous terms of use , please click here .",,,,,
431,0,0,0,0,0,0,0,0,1,Instagram,2,1,"by accessing or using the instagram website , the instagram service , or any applications -lrb- including mobile applications -rrb- made available by instagram -lrb- together , the `` service '' -rrb- , however accessed , you agree to be bound by these terms of use -lrb- `` terms of use '' -rrb- .",,,,,
432,0,0,0,0,0,0,0,0,0,Instagram,2,0,"the service is owned or controlled by instagram , llc -lrb- `` instagram '' -rrb- .",,,,,
433,0,0,0,0,0,0,0,0,0,Instagram,2,0,these terms of use affect your legal rights and obligations .,,,,,
434,0,0,0,0,0,0,0,0,0,Instagram,2,0,"if you do not agree to be bound by all of these terms of use , do not access or use the service .",,,,,
435,0,0,0,0,0,0,0,0,0,Instagram,2,0,there may be times when we offer a special feature that has its own terms and conditions that apply in addition to these terms of use .,,,,,
436,0,0,0,0,0,0,0,0,0,Instagram,2,0,"in those cases , the terms specific to the special feature control to the extent there is a conflict with these terms of use .",,,,,
437,1,0,0,0,0,0,0,0,0,Instagram,2,1,"arbitration notice : except if you opt-out and except for certain types of disputes described in the arbitration section below , you agree that disputes between you and instagram will be resolved by binding , individual arbitration and you waive your right to participate in a class action lawsuit or class-wide arbitration .",,,"[1, 0]",,
438,0,0,0,0,0,0,0,0,0,Instagram,2,0,you must be at least 13 years old to use the service .,,,,,
439,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you may not post violent , nude , partially nude , discriminatory , unlawful , infringing , hateful , pornographic or sexually suggestive photos or other content via the service .",,,,,
440,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you are responsible for any activity that occurs through your account and you agree you will not sell , transfer , license or assign your account , followers , username , or any account rights .",,,,,
441,0,0,0,0,0,0,0,0,0,Instagram,2,0,"with the exception of people or businesses that are expressly authorized to create accounts on behalf of their employers or clients , instagram prohibits the creation of and you agree that you will not create an account for anyone other than yourself .",,,,,
442,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you also represent that all information you provide or provided to instagram upon registration and at all other times will be true , accurate , current and complete and you agree to update your information as necessary to maintain its truth and accuracy .",,,,,
443,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you agree that you will not solicit , collect or use the login credentials of other instagram users .",,,,,
444,0,0,0,0,0,0,0,0,0,Instagram,2,0,you are responsible for keeping your password secret and secure .,,,,,
445,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must not defame , stalk , bully , abuse , harass , threaten , impersonate or intimidate people or entities and you must not post private or confidential information via the service , including , without limitation , your or any other person 's credit card information , social security or alternate national identity numbers , non-public phone numbers or non-public email addresses .",,,,,
446,0,0,0,0,0,0,0,0,0,Instagram,2,0,you may not use the service for any illegal or unauthorized purpose .,,,,,
447,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you agree to comply with all laws , rules and regulations -lrb- for example , federal , state , local and provincial -rrb- applicable to your use of the service and your content -lrb- defined below -rrb- , including but not limited to , copyright laws .",,,,,
448,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you are solely responsible for your conduct and any data , text , files , information , usernames , images , graphics , photos , profiles , audio and video clips , sounds , musical works , works of authorship , applications , links and other content or materials -lrb- collectively , `` content '' -rrb- that you submit , post or display on or via the service .",,,,,
449,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must not change , modify , adapt or alter the service or change , modify or alter another website so as to falsely imply that it is associated with the service or instagram .",,,,,
450,0,0,0,0,0,0,0,0,0,Instagram,2,0,you must not access instagram 's private api by means other than those permitted by instagram .,,,,,
451,0,0,0,0,0,0,0,0,0,Instagram,2,0,use of instagram 's api is subject to a separate set of terms available here : http://instagram.com/about/legal/terms/api/ -lrb- `` api terms '' -rrb- .,,,,,
452,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must not create or submit unwanted email , comments , likes or other forms of commercial or harassing communications -lrb- a/k/a `` spam '' -rrb- to any instagram users .",,,,,
453,0,0,0,0,0,0,0,0,0,Instagram,2,0,you must not use domain names or web urls in your username without prior written consent from instagram .,,,,,
454,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must not interfere or disrupt the service or servers or networks connected to the service , including by transmitting any worms , viruses , spyware , malware or any other code of a destructive or disruptive nature .",,,,,
455,0,0,0,0,0,0,0,0,0,Instagram,2,0,you may not inject content or code or otherwise alter or interfere with the way any instagram page is rendered or displayed in a user 's browser or device .,,,,,
456,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must comply with instagram 's community guidelines , available here : https://help.instagram.com/customer/portal/articles/262387-community-guidelines .",,,,,
457,0,0,0,0,0,0,0,0,0,Instagram,2,0,"you must not create accounts with the service through unauthorized means , including but not limited to , by using an automated device , script , bot , spider , crawler or scraper .",,,,,
458,0,0,0,0,0,0,0,0,0,Instagram,2,0,you must not attempt to restrict another user from using or enjoying the service and you must not encourage or facilitate violations of these terms of use or any other instagram terms .,,,,,
459,0,0,0,0,0,0,0,1,0,Instagram,2,1,"violation of these terms of use may , in instagram 's sole discretion , result in termination of your instagram account .",[1],,,,
460,0,0,0,0,0,0,0,0,0,Instagram,2,0,you understand and agree that instagram can not and will not be responsible for the content posted on the service and you use the service at your own risk .,,,,,
461,0,0,0,0,0,0,0,1,0,Instagram,2,1,"if you violate the letter or spirit of these terms of use , or otherwise create risk or possible legal exposure for instagram , we can stop providing all or part of the service to you .","[0, 1, 25]",,,,
462,0,1,0,0,0,0,0,1,0,Instagram,2,1,"we reserve the right to modify or terminate the service or your access to the service for any reason , without notice , at any time , and without liability to you .","[23, 27]",,,"[0, 1]",
463,0,0,0,0,0,0,0,0,0,Instagram,2,0,you can deactivate your instagram account by logging into the service and completing the form available here : https://instagram.com/accounts/remove/request/ .,,,,,
